electionrecordid,raceorder,votes,reported,race,candidate,town,party,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,,,,Congress District 2 (D),Emily Ann Cain,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Congress District 2 (D),Emily Ann Cain,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Congress District 2 (D),Emily Ann Cain,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Congress District 2 (D),Emily Ann Cain,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Congress District 2 (D),Emily Ann Cain,Brooklin,D,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Congress District 2 (D),Emily Ann Cain,Brooksville,D,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Congress District 2 (D),Emily Ann Cain,Bucksport,D,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Congress District 2 (D),Emily Ann Cain,Castine,D,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Congress District 2 (D),Emily Ann Cain,Dedham,D,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Congress District 2 (D),Emily Ann Cain,Deer Isle,D,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Congress District 2 (D),Emily Ann Cain,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Congress District 2 (D),Emily Ann Cain,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Congress District 2 (D),Emily Ann Cain,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Congress District 2 (D),Emily Ann Cain,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Congress District 2 (D),Emily Ann Cain,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Orland,D,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Congress District 2 (D),Emily Ann Cain,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Congress District 2 (D),Emily Ann Cain,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Penobscot,D,Penobscot,286,52,297,367,0.29,0.3,0.37
