electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
362,110,0,0,Question 1: Marijuana Legalization,Yes,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
363,110,0,0,Question 1: Marijuana Legalization,Yes,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
364,110,0,0,Question 1: Marijuana Legalization,Yes,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
365,110,0,0,Question 1: Marijuana Legalization,Yes,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
366,110,0,0,Question 1: Marijuana Legalization,Yes,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
367,110,0,0,Question 1: Marijuana Legalization,Yes,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
368,110,0,0,Question 1: Marijuana Legalization,Yes,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
369,110,0,0,Question 1: Marijuana Legalization,Yes,,Castine,Castine,307,48,316,375,0.29,0.3,0.36
370,110,0,0,Question 1: Marijuana Legalization,Yes,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
371,110,0,0,Question 1: Marijuana Legalization,Yes,,Dedham,Dedham,324,41,450,506,0.25,0.34,0.38
372,110,0,0,Question 1: Marijuana Legalization,Yes,,Deer Isle,Deer Isle,574,62,416,644,0.34,0.25,0.38
373,110,0,0,Question 1: Marijuana Legalization,Yes,,Eastbrook,Eastbrook,73,10,124,112,0.23,0.39,0.35
374,110,0,0,Question 1: Marijuana Legalization,Yes,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
376,110,0,0,Question 1: Marijuana Legalization,Yes,,Franklin,Franklin,249,49,375,340,0.25,0.37,0.34
377,110,0,0,Question 1: Marijuana Legalization,Yes,,Frenchboro,Frenchboro,12,4,9,17,0.29,0.21,0.4
378,110,0,0,Question 1: Marijuana Legalization,Yes,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0.34,0.36
379,110,0,0,Question 1: Marijuana Legalization,Yes,,Great Pond,Great Pond,9,0,16,14,0.23,0.41,0.36
380,110,0,0,Question 1: Marijuana Legalization,Yes,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
381,110,0,0,Question 1: Marijuana Legalization,Yes,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
382,110,0,0,Question 1: Marijuana Legalization,Yes,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
383,110,0,0,Question 1: Marijuana Legalization,Yes,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
384,110,0,0,Question 1: Marijuana Legalization,Yes,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
385,110,0,0,Question 1: Marijuana Legalization,Yes,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
386,110,0,0,Question 1: Marijuana Legalization,Yes,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
387,110,0,0,Question 1: Marijuana Legalization,Yes,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
388,110,0,0,Question 1: Marijuana Legalization,Yes,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
389,110,0,0,Question 1: Marijuana Legalization,Yes,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
390,110,0,0,Question 1: Marijuana Legalization,Yes,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
391,110,0,0,Question 1: Marijuana Legalization,Yes,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
392,110,0,0,Question 1: Marijuana Legalization,Yes,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
393,110,0,0,Question 1: Marijuana Legalization,Yes,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
394,110,0,0,Question 1: Marijuana Legalization,Yes,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
395,110,0,0,Question 1: Marijuana Legalization,Yes,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
396,110,0,0,Question 1: Marijuana Legalization,Yes,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
397,110,0,0,Question 1: Marijuana Legalization,Yes,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
398,110,0,0,Question 1: Marijuana Legalization,Yes,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
399,110,0,0,Question 1: Marijuana Legalization,Yes,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
400,110,0,0,Question 1: Marijuana Legalization,No,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
401,110,0,0,Question 1: Marijuana Legalization,No,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
402,110,0,0,Question 1: Marijuana Legalization,No,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
403,110,0,0,Question 1: Marijuana Legalization,No,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
404,110,0,0,Question 1: Marijuana Legalization,No,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
405,110,0,0,Question 1: Marijuana Legalization,No,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
